"TID","NOTRANS","TGLORDER","TGLTRANS","TGLESTIMASI","KODE","JENIS","KODEKARYAWAN","KODESALES","KODEPELANGGAN","KODEPEMASOK","CATATAN","JMLTRANS","DISKONPERSEN","DISKONNILAI","BIAYA","TOTALNILAIBELI","TOTALTRANS","JMLBAYAR","SISA","CARABAYAR","KARTU","NOREFKARTU","STATUS","NOREF","POSTED","JNSSTOK","BAYARLAIN1","BAYARLAIN2","KETBAYARLAIN1","KETBAYARLAIN2","TAHUN","BULAN","TGLJTHTEMPO","TGLUPLOAD","TGLUPDATE","JAMUPLOAD","JAMUPDATE","DP"
170,TJ1903-00007,,2019-03-16,,TJ,Sales,"","",C001,,"",25000.0,0.00,0.0,0.0,0.0,25000.0,25000.0,0.0,Tunai,,,4,"",0,Keluar,0.0,0.0,,,"2019","03",2019-04-15,,,,,0.0
171,TJ1903-00008,,2019-03-16,,TJ,Sales,"","",C003,,"",195000.0,0.00,0.0,0.0,0.0,195000.0,150000.0,5000.0,Tunai,,,4,SO1903-00006,0,Keluar,0.0,0.0,,,"2019","03",2019-04-15,,,,,50000.0
172,SO1903-00007,2019-03-16,,2019-03-16,SO,Sales Order,"","",C001,,"",153000.0,0.00,0.0,0.0,0.0,0.0,0.0,-103000.0,,,,4,,0,,0.0,0.0,,,"2019","03",,,,,,50000.0
173,TJ1903-00009,,2019-03-16,,TJ,Sales,"","",C001,,"",153000.0,0.00,0.0,0.0,0.0,153000.0,0.0,-103000.0,Kredit,,,3,SO1903-00007,0,Keluar,0.0,0.0,,,"2019","03",2019-04-15,,,,,50000.0
174,TJ1903-00010,,2019-03-16,,TJ,Sales,"","",C002,,"",75000.0,0.00,0.0,0.0,0.0,75000.0,0.0,-75000.0,Kredit,,,3,"",0,Keluar,0.0,0.0,,,"2019","03",2019-04-15,,,,,0.0
175,SO1903-00008,2019-03-16,,2019-03-16,SO,Sales Order,E002,"",C001,,"",119000.0,0.00,0.0,0.0,0.0,119000.0,0.0,-119000.0,,,,4,,0,,0.0,0.0,,,"2019","03",,,,,,0.0
177,TJ1903-00011,,2019-03-31,,TJ,Sales,E002,"",C001,,"",119000.0,0.00,0.0,0.0,0.0,119000.0,200000.0,81000.0,Tunai,,,4,SO1903-00008,0,Keluar,0.0,0.0,,,"2019","03",2019-04-30,,,,,0.0
179,SO1904-00001,2019-04-02,,2019-04-04,SO,Sales Order,E002,"",C001,,"",357000.0,0.00,0.0,0.0,0.0,357000.0,0.0,-207000.0,,,,4,,0,,0.0,0.0,,,"2019","04",,,,,,150000.0
180,TJ1904-00001,,2019-04-02,,TJ,Sales,E002,"",C001,,"",357000.0,0.00,0.0,0.0,0.0,357000.0,250000.0,43000.0,Tunai,,,4,SO1904-00001,0,Keluar,0.0,0.0,,,"2019","04",2019-05-02,,,,,150000.0
181,SO1904-00002,2019-04-03,,2019-04-03,SO,Sales Order,E002,"",C002,,"",468000.0,0.00,0.0,0.0,0.0,468000.0,0.0,-368000.0,,,,4,,0,,0.0,0.0,,,"2019","04",,,,,,100000.0
182,TJ1905-00001,,2019-05-07,,TJ,Sales,E002,"",C002,,"",468000.0,0.00,0.0,0.0,0.0,468000.0,400000.0,32000.0,Tunai,,,4,SO1904-00002,0,Keluar,0.0,0.0,,,"2019","05",2019-06-06,,,,,100000.0
183,SO1905-00001,2019-05-08,,2019-05-08,SO,Sales Order,E002,"",C001,,"",78000.0,0.00,0.0,0.0,0.0,78000.0,0.0,-28000.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,50000.0
184,SO1905-00002,2019-05-08,,2019-05-08,SO,Sales Order,E002,"",C003,,"",130000.0,0.00,0.0,0.0,0.0,130000.0,0.0,-30000.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,100000.0
185,TJ1905-00002,,2019-05-08,,TJ,Sales,E002,"",C001,,"",78000.0,0.00,0.0,0.0,0.0,78000.0,30000.0,2000.0,Tunai,,,4,SO1905-00001,0,Keluar,0.0,0.0,,,"2019","05",2019-06-07,,,,,50000.0
186,TJ1905-00003,,2019-05-08,,TJ,Sales,E002,"",C003,,"",130000.0,0.00,0.0,0.0,0.0,130000.0,50000.0,20000.0,Tunai,,,4,SO1905-00002,0,Keluar,0.0,0.0,,,"2019","05",2019-06-07,,,,,100000.0
188,TJ1905-00004,,2019-05-14,,TJ,Sales,E002,"",C002,,"",44000.0,10.00,4400.0,0.0,0.0,39600.0,44000.0,4400.0,Tunai,,,4,SO1905-00003,0,Keluar,0.0,0.0,,,"2019","05",2019-06-13,,,,,0.0
187,SO1905-00003,2019-05-08,,2019-05-08,SO,Sales Order,E002,"",C002,,"",44000.0,0.00,0.0,0.0,0.0,44000.0,50000.0,6000.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,0.0
189,SO1905-00004,2019-05-14,,2019-05-14,SO,Sales Order,E002,"",C001,,"",61000.0,0.00,0.0,0.0,0.0,61000.0,0.0,-61000.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,0.0
190,SO1905-00005,2019-05-14,,2019-05-14,SO,Sales Order,E002,"",C002,,"",253000.0,0.00,0.0,0.0,0.0,253000.0,0.0,-153000.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,100000.0
191,SO1905-00006,2019-05-14,,2019-05-14,SO,Sales Order,E002,"",C003,,"",150000.0,0.00,0.0,0.0,0.0,150000.0,150000.0,0.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,0.0
192,TJ1905-00005,,2019-05-14,,TJ,Sales,E002,"",C001,,"",61000.0,10.00,6100.0,5000.0,0.0,59900.0,59900.0,0.0,Tunai,,,4,SO1905-00004,0,Keluar,0.0,0.0,,,"2019","05",2019-06-13,,,,,0.0
193,TJ1905-00006,,2019-05-14,,TJ,Sales,E002,"",C002,,"",253000.0,0.00,0.0,0.0,0.0,253000.0,160000.0,7000.0,Tunai,,,4,SO1905-00005,0,Keluar,0.0,0.0,,,"2019","05",2019-06-13,,,,,100000.0
194,TJ1905-00007,,2019-05-14,,TJ,Sales,E002,"",C003,,"",150000.0,0.00,0.0,0.0,0.0,150000.0,150000.0,0.0,Tunai,,,4,SO1905-00006,0,Keluar,0.0,0.0,,,"2019","05",2019-06-13,,,,,0.0
195,SO1905-00007,2019-05-21,,2019-05-21,SO,Sales Order,E002,"",C003,,"",95000.0,0.00,0.0,0.0,0.0,95000.0,0.0,-45000.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,50000.0
196,TJ1905-00008,,2019-05-28,,TJ,Sales,E002,"",C003,,"",95000.0,0.00,0.0,0.0,0.0,95000.0,45000.0,0.0,Tunai,,,4,SO1905-00007,0,Keluar,0.0,0.0,,,"2019","05",2019-06-27,,,,,50000.0
199,SO1905-00009,2019-05-29,,2019-05-29,SO,Sales Order,E002,"",C003,,"",323000.0,0.00,0.0,0.0,0.0,323000.0,0.0,-223000.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,100000.0
197,SO1905-00008,2019-05-28,,2019-05-28,SO,Sales Order,E002,"",C003,,"",95000.0,0.00,0.0,0.0,0.0,95000.0,0.0,-45000.0,,,,4,,0,,0.0,0.0,,,"2019","05",,,,,,50000.0
198,TJ1905-00009,,2019-05-28,,TJ,Sales,E002,"",C003,,"",95000.0,0.00,0.0,0.0,0.0,95000.0,50000.0,5000.0,Tunai,,,4,SO1905-00008,0,Keluar,0.0,0.0,,,"2019","05",2019-06-27,,,,,50000.0
200,SO1912-00001,2019-12-23,,2019-12-23,SO,Sales Order,E002,"",C001,,"",292200.0,0.00,0.0,0.0,0.0,292200.0,0.0,-292200.0,,,,4,,0,,0.0,0.0,,,"2019","12",,,,,,0.0
326,PO2507-00002,2025-07-23,,,PO,Purchase Order,E002,"",,S003,"",3095060.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
202,TJ1912-00001,,2019-12-23,,TJ,Sales,E002,"",C001,,"",292200.0,0.00,0.0,0.0,0.0,292200.0,292200.0,0.0,Tunai,,,4,SO1912-00001,0,Keluar,0.0,0.0,,,"2019","12",2020-01-22,,,,,0.0
207,SO2001-00001,2020-01-28,,2020-01-28,SO,Sales Order,E002,"","",,"",180000.0,0.00,0.0,0.0,0.0,180000.0,0.0,-130000.0,,,,4,,0,,0.0,0.0,,,"2020","01",,,,,,50000.0
203,SO1912-00002,2019-12-23,,2019-12-23,SO,Sales Order,E002,"",C002,,"",256000.0,0.00,0.0,0.0,0.0,256000.0,0.0,-256000.0,,,,4,,0,,0.0,0.0,,,"2019","12",,,,,,0.0
204,TJ1912-00002,,2019-12-23,,TJ,Sales,E002,"",C002,,"",256000.0,0.00,0.0,0.0,0.0,256000.0,256000.0,0.0,Tunai,,,4,SO1912-00002,0,Keluar,0.0,0.0,,,"2019","12",2020-01-22,,,,,0.0
208,SO2005-00001,2020-05-16,,2020-05-16,SO,Sales Order,E002,"",C003,,"",73000.0,0.00,0.0,0.0,0.0,73000.0,0.0,-73000.0,,,,4,,0,,0.0,0.0,,,"2020","05",,,,,,0.0
205,SO1912-00003,2019-12-23,,2019-12-23,SO,Sales Order,E002,"",C001,,"",306000.0,0.00,0.0,0.0,0.0,306000.0,0.0,-306000.0,,,,4,,0,,0.0,0.0,,,"2019","12",,,,,,0.0
206,TJ1912-00003,,2019-12-23,,TJ,Sales,E002,"",C001,,"",306000.0,0.00,0.0,0.0,0.0,306000.0,306000.0,0.0,Tunai,,,4,SO1912-00003,0,Keluar,0.0,0.0,,,"2019","12",2020-01-22,,,,,0.0
209,SO2006-00001,2020-06-10,,2020-06-10,SO,Sales Order,E002,"",C002,,"",30000.0,0.00,0.0,0.0,0.0,30000.0,0.0,-30000.0,,,,4,,0,,0.0,0.0,,,"2020","06",,,,,,0.0
210,TJ2006-00001,,2020-06-10,,TJ,Sales,E002,"",C002,,"",30000.0,0.00,0.0,0.0,0.0,30000.0,30000.0,0.0,Tunai,,,4,SO2006-00001,0,Keluar,0.0,0.0,,,"2020","06",2020-07-10,,,,,0.0
211,SO2012-00001,2020-12-18,,2020-12-18,SO,Sales Order,E002,"",C003,,"",4500000.0,0.00,0.0,0.0,0.0,4500000.0,0.0,-4500000.0,,,,4,,0,,0.0,0.0,,,"2020","12",,,,,,0.0
212,TJ2012-00001,,2020-12-18,,TJ,Sales,E002,"",C003,,"",4500000.0,0.00,0.0,0.0,0.0,4500000.0,4500000.0,0.0,Tunai,,,4,SO2012-00001,0,Keluar,0.0,0.0,,,"2020","12",2021-01-17,,,,,0.0
213,TJ2012-00002,,2020-12-18,,TJ,Sales,E002,"",Tunai,,"",45000.0,0.00,0.0,0.0,0.0,45000.0,45000.0,0.0,Tunai,,,4,"",0,Keluar,0.0,0.0,,,"2020","12",2021-01-17,,,,,0.0
214,TJ2012-00003,,2020-12-18,,TJ,Sales,E002,"",Tunai,,"",45000.0,0.00,0.0,0.0,0.0,45000.0,45000.0,0.0,Tunai,,,4,"",0,Keluar,0.0,0.0,,,"2020","12",2021-01-17,,,,,0.0
215,TJ2012-00004,,2020-12-18,,TJ,Sales,E002,"",Tunai,,"",45000.0,0.00,0.0,0.0,0.0,45000.0,45000.0,0.0,Tunai,,,4,"",0,Keluar,0.0,0.0,,,"2020","12",2021-01-17,,,,,0.0
216,TJ2012-00005,,2020-12-19,,TJ,Sales,E002,"",C003,,"",323000.0,0.00,0.0,0.0,0.0,323000.0,223000.0,0.0,Tunai,,,4,SO1905-00009,0,Keluar,0.0,0.0,,,"2020","12",2021-01-18,,,,,100000.0
217,SO2012-00002,2020-12-21,,2020-12-21,SO,Sales Order,E002,"","",,"",68250.0,0.00,0.0,0.0,0.0,68250.0,0.0,-68250.0,,,,4,,0,,0.0,0.0,,,"2020","12",,,,,,0.0
218,TJ2012-00006,,2020-12-21,,TJ,Sales,E002,"","",,"",180000.0,0.00,0.0,0.0,15380.0,180000.0,130000.0,0.0,Tunai,,,4,SO2001-00001,0,Keluar,0.0,0.0,,,"2020","12",2021-01-20,,,,,50000.0
222,TJ2101-00001,,2021-01-05,,TJ,Sales,E002,"","",,"",68250.0,0.00,0.0,0.0,0.0,68250.0,68250.0,0.0,Tunai,,,4,SO2012-00002,0,Keluar,0.0,0.0,,,"2021","01",2021-02-04,,,,,0.0
219,TJ2012-00007,,2020-12-21,,TJ,Sales,E002,"",C003,,"",73000.0,0.00,0.0,0.0,6140.0,73000.0,73000.0,0.0,Tunai,,,4,SO2005-00001,0,Keluar,0.0,0.0,,,"2020","12",2021-01-20,,,,,0.0
223,SO2101-00001,2021-01-05,,2021-01-05,SO,Sales Order,E002,"",C002,,"",240000.0,0.00,0.0,0.0,0.0,240000.0,0.0,-190000.0,,,,4,,0,,0.0,0.0,,,"2021","01",,,,,,50000.0
220,SO2012-00003,2020-12-21,,2020-12-21,SO,Sales Order,E002,"",C003,,"",23750.0,0.00,0.0,0.0,0.0,23750.0,0.0,-23750.0,,,,4,,0,,0.0,0.0,,,"2020","12",,,,,,0.0
221,TJ2012-00008,,2020-12-21,,TJ,Sales,E002,"",C003,,"",23750.0,0.00,0.0,0.0,20570.0,23750.0,23750.0,0.0,Tunai,,,4,SO2012-00003,0,Keluar,0.0,0.0,,,"2020","12",2021-01-20,,,,,0.0
224,SO2101-00002,2021-01-06,,2021-01-06,SO,Sales Order,E002,"",C001,,"",138000.0,0.00,0.0,0.0,0.0,138000.0,0.0,-138000.0,,,,4,,0,,0.0,0.0,,,"2021","01",,,,,,0.0
225,TJ2101-00002,,2021-01-06,,TJ,Sales,E002,"",C001,,"",138000.0,0.00,0.0,0.0,9210.0,138000.0,138000.0,0.0,Tunai,,,4,SO2101-00002,0,Keluar,0.0,0.0,,,"2021","01",2021-02-05,,,,,0.0
226,TJ2101-00003,,2021-01-06,,TJ,Sales,E002,"",C002,,"",240000.0,0.00,0.0,0.0,13750.0,240000.0,190000.0,0.0,Tunai,,,4,SO2101-00001,0,Keluar,0.0,0.0,,,"2021","01",2021-02-05,,,,,50000.0
227,SO2102-00001,2021-02-16,,2021-02-16,SO,Sales Order,E002,"",C003,,"",367000.0,0.00,0.0,0.0,0.0,367000.0,0.0,-367000.0,,,,4,,0,,0.0,0.0,,,"2021","02",,,,,,0.0
228,TJ2102-00001,,2021-02-16,,TJ,Sales,E002,"",C003,,"",367000.0,0.00,0.0,0.0,9662.0,367000.0,367000.0,0.0,Tunai,,,4,SO2102-00001,0,Keluar,0.0,0.0,,,"2021","02",2021-03-18,,,,,0.0
229,SO2102-00002,2021-02-20,,2021-02-20,SO,Sales Order,E002,"",C003,,"",68000.0,0.00,0.0,0.0,0.0,68000.0,0.0,-68000.0,,,,4,,0,,0.0,0.0,,,"2021","02",,,,,,0.0
230,TJ2102-00002,,2021-02-20,,TJ,Sales,E002,"",C003,,"",68000.0,0.00,0.0,0.0,12280.0,68000.0,68000.0,0.0,Tunai,,,4,SO2102-00002,0,Keluar,0.0,0.0,,,"2021","02",2021-03-22,,,,,0.0
231,TJ2102-00003,,2021-02-20,,TJ,Sales,E002,"",Tunai,,"",3700.0,0.00,0.0,0.0,3070.0,3700.0,4000.0,300.0,Tunai,,,4,"",0,Keluar,0.0,0.0,,,"2021","02",2021-03-22,,,,,0.0
232,SO2102-00003,2021-02-20,,2021-02-20,SO,Sales Order,E002,"","",,"",91000.0,0.00,0.0,0.0,0.0,91000.0,0.0,-91000.0,,,,4,,0,,0.0,0.0,,,"2021","02",,,,,,0.0
233,TJ2102-00004,,2021-02-20,,TJ,Sales,E002,"","",,"",91000.0,0.00,0.0,0.0,29780.0,91000.0,91000.0,0.0,Tunai,,,4,SO2102-00003,0,Keluar,0.0,0.0,,,"2021","02",2021-03-22,,,,,0.0
234,SO2102-00004,2021-02-20,,2021-02-20,SO,Sales Order,E002,"","",,"",150000.0,0.00,0.0,0.0,0.0,150000.0,0.0,-150000.0,,,,4,,0,,0.0,0.0,,,"2021","02",,,,,,0.0
235,TJ2102-00005,,2021-02-20,,TJ,Sales,E002,"","",,"",150000.0,0.00,0.0,0.0,3070.0,150000.0,150000.0,0.0,Tunai,,,4,SO2102-00004,0,Keluar,0.0,0.0,,,"2021","02",2021-03-22,,,,,0.0
236,SO2102-00005,2021-02-20,,2021-02-20,SO,Sales Order,E002,"","",,"",17000.0,0.00,0.0,0.0,0.0,17000.0,0.0,-17000.0,,,,4,,0,,0.0,0.0,,,"2021","02",,,,,,0.0
237,TJ2102-00006,,2021-02-20,,TJ,Sales,E002,"","",,"",17000.0,0.00,0.0,0.0,3070.0,17000.0,17000.0,0.0,Tunai,,,4,SO2102-00005,0,Keluar,0.0,0.0,,,"2021","02",2021-03-22,,,,,0.0
238,SO2103-00001,2021-03-04,,2021-03-04,SO,Sales Order,E002,"",C002,,"",150000.0,0.00,0.0,0.0,0.0,150000.0,0.0,-150000.0,,,,4,,0,,0.0,0.0,,,"2021","03",,,,,,0.0
239,TJ2103-00001,,2021-03-04,,TJ,Sales,E002,"",C002,,"",150000.0,0.00,0.0,0.0,9210.0,150000.0,150000.0,0.0,Tunai,,,4,SO2103-00001,0,Keluar,0.0,0.0,,,"2021","03",2021-04-03,,,,,0.0
240,SO2103-00002,2021-03-04,,2021-03-04,SO,Sales Order,E002,"",C001,,"",270000.0,0.00,0.0,0.0,0.0,270000.0,0.0,-270000.0,,,,4,,0,,0.0,0.0,,,"2021","03",,,,,,0.0
241,TJ2103-00002,,2021-03-04,,TJ,Sales,E002,"",C001,,"",270000.0,0.00,0.0,0.0,19210.0,270000.0,270000.0,0.0,Tunai,,,4,SO2103-00002,0,Keluar,0.0,0.0,,,"2021","03",2021-04-03,,,,,0.0
272,SO2507-00012,2025-07-18,,2025-07-18,SO,Sales Order,E002,"",C2507008,,"",625151.6,0.00,0.0,0.0,0.0,625151.6,0.0,-625151.6,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
243,SO2104-00002,2021-04-15,,2021-04-15,SO,Sales Order,E002,"",C003,,"",34000.0,0.00,0.0,0.0,0.0,34000.0,0.0,-34000.0,,,,4,,0,,0.0,0.0,,,"2021","04",,,,,,0.0
244,SO2104-00003,2021-04-15,,2021-04-15,SO,Sales Order,E002,"","",,"",250000.0,0.00,0.0,0.0,0.0,250000.0,0.0,-250000.0,,,,4,,0,,0.0,0.0,,,"2021","04",,,,,,0.0
245,TJ2105-00001,,2021-05-05,,TJ,Sales,E002,"",C003,,"",34000.0,0.00,0.0,0.0,6140.0,34000.0,40000.0,6000.0,Tunai,,,4,SO2104-00002,0,Keluar,0.0,0.0,,,"2021","05",2021-06-04,,,,,0.0
246,TJ2105-00002,,2021-05-05,,TJ,Sales,E002,"","",,"",250000.0,0.00,0.0,0.0,795.0,250000.0,250000.0,0.0,Tunai,,,4,SO2104-00003,0,Keluar,0.0,0.0,,,"2021","05",2021-06-04,,,,,0.0
247,PB2108-00001,,2021-08-11,,PB,Sales Order,E002,"",Tunai,,"",0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0,,0.0,0.0,,,"2021","08",,,,,,0.0
248,PB2108-00002,,2021-08-11,,PB,Sales Order,E002,"",Tunai,,"",0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0,,0.0,0.0,,,"2021","08",,,,,,0.0
249,PB2108-00003,,2021-08-25,,PB,Sales Order,E002,"",Tunai,,"",0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,,,,0,,0,,0.0,0.0,,,"2021","08",,,,,,0.0
271,SO2507-00011,2025-07-18,,2025-07-18,SO,Sales Order,E002,"",C2507007,,"",32000.0,0.00,0.0,0.0,0.0,32000.0,0.0,-32000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
253,SO2507-00001,2025-07-16,,2025-07-16,SO,Sales Order,E002,"",C001,,"",130000.0,0.00,0.0,0.0,0.0,130000.0,0.0,-130000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
254,SO2507-00002,2025-07-17,,2025-07-17,SO,Sales Order,E002,"",C2507001,,"",64000.0,0.00,0.0,0.0,0.0,64000.0,0.0,-39000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,25000.0
320,SO2507-00028,2025-07-25,,2025-07-25,SO,Sales Order,E002,"",C2507015,,"",24000.0,0.00,0.0,0.0,0.0,24000.0,0.0,-24000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
321,SO2507-00029,2025-07-25,,2025-07-25,SO,Sales Order,E002,"",C2507018,,"",24000.0,0.00,0.0,0.0,0.0,24000.0,0.0,-24000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
257,SO2507-00003,2025-07-17,,2025-07-17,SO,Sales Order,E002,"",C2507002,,"",360000.0,0.00,0.0,0.0,0.0,360000.0,0.0,-110000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,250000.0
258,SO2507-00004,2025-07-17,,2025-07-17,SO,Sales Order,E002,"",C2507003,,"",65000.0,0.00,0.0,0.0,0.0,65000.0,0.0,-35000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,30000.0
330,SO2507-00032,2025-07-28,,2025-07-28,SO,Sales Order,E002,"",C2507018,,"",576000.0,0.00,0.0,0.0,0.0,576000.0,0.0,-576000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
324,TJ2507-00022,,2025-07-25,,TJ,Sales,E002,"",C2507018,,"",24000.0,0.00,0.0,0.0,17850.0,24000.0,24000.0,0.0,Tunai,,,4,SO2507-00029,0,Keluar,0.0,0.0,,,"2025","07",2025-08-24,,,,,0.0
327,SO2507-00031,2025-07-26,,2025-07-26,SO,Sales Order,E002,"",C2507015,,"",137280.0,0.00,0.0,0.0,0.0,137280.0,0.0,-137280.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
264,SO2507-00007,2025-07-17,,2025-07-17,SO,Sales Order,E002,"",C2507004,,"",360000.0,0.00,0.0,0.0,0.0,360000.0,0.0,-320000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,40000.0
263,SO2507-00006,2025-07-17,,2025-07-17,SO,Sales Order,E002,"",C2507004,,"",360000.0,0.00,0.0,0.0,0.0,360000.0,0.0,-320000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,40000.0
328,TJ2507-00023,,2025-07-26,,TJ,Sales,E002,"",C2507015,,"",24000.0,0.00,0.0,0.0,17850.0,24000.0,24000.0,0.0,Tunai,,,4,SO2507-00028,0,Keluar,0.0,0.0,,,"2025","07",2025-08-25,,,,,0.0
329,TJ2507-00024,,2025-07-26,,TJ,Sales,E002,"",C2507015,,"",137280.0,0.00,0.0,0.0,79872.0,137280.0,137280.0,0.0,Tunai,,,4,SO2507-00031,0,Keluar,0.0,0.0,,,"2025","07",2025-08-25,,,,,0.0
267,SO2507-00008,2025-07-17,,2025-07-19,SO,Sales Order,E002,"",C2507005,,"",307000.0,0.00,0.0,0.0,0.0,307000.0,0.0,-307000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
331,TJ2507-00025,,2025-07-28,,TJ,Sales,E002,"",C2507018,,"",576000.0,0.00,0.0,0.0,243950.0,576000.0,576000.0,0.0,Tunai,,,4,SO2507-00032,0,Keluar,0.0,0.0,,,"2025","07",2025-08-27,,,,,0.0
269,SO2507-00009,2025-07-18,,2025-07-21,SO,Sales Order,E002,"",C2507006,,"",1700000.0,0.00,0.0,0.0,0.0,1700000.0,0.0,-1700000.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
273,SO2507-00013,2025-07-18,,2025-07-18,SO,Sales Order,E002,"",C2507009,,"",20160.0,0.00,0.0,0.0,0.0,20160.0,0.0,-20160.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
332,SO2507-00033,2025-07-29,,2025-07-29,SO,Sales Order,E002,"",C2507015,,"",75200.0,0.00,0.0,0.0,0.0,75200.0,0.0,-75200.0,,,,4,,0,,0.0,0.0,,,"2025","07",,,,,,0.0
