"NOTRANS","KODE","NOURUT","KODEBARANG","NAMABARANG","KODESATUAN","JML","HRGBELI","PANJANG","LEBAR","JASADESAIN","BIAYALAIN","HRGJUAL","SATUANJUAL","JMLJUAL","HRGTERJUAL","DISKPERSEN","DISKNILAI","SUBTOTAL","JMLRETUR","KONVERSI","STOKASAL","NAMAPESANAN","URAIAN","KETPESANAN","LOKASIFILE","STATUSCETAK","KODEBAHAN","KODEBAHAN1","KODEBAHAN2","KODEBAHAN3","KODEBAHAN4","KODEBAHAN5","JMLBAHAN1","JMLBAHAN2","JMLBAHAN3","JMLBAHAN4","JMLBAHAN5"
SO1903-00004,SO,2,"0100100001",Cetak Banner Reg,UNIT,5.00,0.0,1.00,1.00,0.0,0.0,17000.0,UNIT,5.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Banner Jalan,Hallo Selamat Datang,"","",0,"0801500001",,,,,,,,,,
TJ1903-00005,TJ,2,"0100100001",Cetak Banner Reg,UNIT,5.00,0.0,1.00,1.00,0.0,0.0,17000.0,UNIT,5.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,,,,,0,"0801500001",,,,,,,,,,
SO1903-00005,SO,1,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,4.00,1.00,0.0,0.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,Selamat Datang,"","","",0,"0801500002",,,,,,,,,,
SO1903-00005,SO,2,"0100100001",Cetak Banner Reg,UNIT,2.00,0.0,1.00,1.00,5000.0,0.0,17000.0,UNIT,2.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Hore Hore,Horeeee,"","",0,"0801500003",,,,,,,,,,
TJ1903-00006,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,4.00,1.00,0.0,0.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,Selamat Datang,,,,0,"0801500002",,,,,,,,,,
TJ1903-00006,TJ,2,"0100100001",Cetak Banner Reg,UNIT,2.00,0.0,1.00,1.00,5000.0,0.0,17000.0,UNIT,2.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Hore Hore,,,,0,"0801500003",,,,,,,,,,
SO1903-00001,SO,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,2.00,3.00,3000.0,0.0,15000.0,UNIT,1.00,15000.0,0.00,0.0,0.0,0.00,1.00,0.00,Banner Sambutan,"SELAMAT DATANG
KAMI UCAPKAN KEPADA PESERTA SEMUA",BAHAN POLY 1,"",0,"0801500001",,,,,,,,,,
SO1903-00001,SO,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,4.00,0.0,0.0,18000.0,UNIT,1.00,18000.0,0.00,0.0,0.0,0.00,1.00,0.00,BACKDROP,BACKDROP - BACKGROUND,BAHAN POLY 1,"",0,"0801500001",,,,,,,,,,
TJ2507-00023,TJ,1,"0106400001",FLEXY CHINA 280 (OUT),MTR,1.00,17850.0,0.50,3.00,0.0,0.0,16000.0,MTR,1.00,16000.0,0.00,0.0,0.0,0.00,0.00,0.00,SPANDUK WOLTER ,FLEXY 280,"",,0,"0106400002",,,,,,0.00,0.00,0.00,0.00,0.00
TJ1903-00007,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,1.00,1.00,0.0,0.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,"",,,,0,"",,,,,,,,,,
SO1903-00006,SO,1,"0100100002",Cetak Banner Kilat,UNIT,2.00,0.0,1.00,2.00,10000.0,0.0,25000.0,UNIT,2.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,Menu Makanan,"Menu Makanan
---------------------------------
Menu A          10k
Menu B          15k

Menu Minuman
----------------------------------",Bahan Poly 1,"",0,"0801500001",,,,,,,,,,
SO1903-00006,SO,2,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,3.00,1.00,10000.0,0.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,Banner Warung,Warung Makan Kuane Loopppp!!!,Bahan Albatros,"",0,"0801500003",,,,,,,,,,
TJ1903-00008,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,2.00,0.0,1.00,2.00,10000.0,0.0,25000.0,UNIT,2.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,Menu Makanan,,,,0,"0801500001",,,,,,,,,,
TJ1903-00008,TJ,2,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,3.00,1.00,10000.0,0.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,Banner Warung,,,,0,"0801500003",,,,,,,,,,
SO1903-00007,SO,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,1.00,3.00,0.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Menu Makanan,Menu Makanan,"","",0,"0801500002",,,,,,,,,,
TJ1903-00009,TJ,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,1.00,3.00,0.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Menu Makanan,,,,0,"0801500002",,,,,,,,,,
TJ1903-00010,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,3.00,0.0,1.00,1.00,0.0,0.0,25000.0,UNIT,3.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,"",,,,0,"",,,,,,,,,,
TJ1903-00011,TJ,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,1.00,1.00,0.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Banner,,,,0,"0801500002",,,,,,,,,,
TJ1903-00011,TJ,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,4.00,1.00,0.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Banner Selamat Datang,,,,0,"0801500002",,,,,,,,,,
TJ1904-00001,TJ,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,3.00,1.00,0.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Promo Diskon,,,,0,"0801500002",,,,,,,,,,
SO1903-00008,SO,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,1.00,1.00,0.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Banner,Cetak Kilat,Finishing Mata Ayam,"",0,"0801500002",,,,,,,,,,
SO1903-00008,SO,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,4.00,1.00,0.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Banner Selamat Datang,Segera Diambil,Finishing Mata Ayam,"",0,"0801500002",,,,,,,,,,
TJ1904-00001,TJ,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,4.00,0.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Baliho,,,,0,"0801500003",,,,,,,,,,
SO1904-00002,SO,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,3.00,1.00,10000.0,5000.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Hallo,Finishing Mata Ayam,Bahan Albatros,"",0,"0801500003",,,,,,,,,,
SO1904-00001,SO,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,3.00,1.00,0.0,0.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Promo Diskon,"Bahan Flexy A, Finishing Mata Ayam","","",0,"0801500002",,,,,,,,,,
SO1904-00001,SO,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,4.00,0.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Baliho,Finishing Mata Ayam 8 Titik,"","",0,"0801500003",,,,,,,,,,
TJ1905-00001,TJ,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,3.00,1.00,10000.0,5000.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Hallo,,,,0,"0801500003",,,,,,,,,,
SO1904-00002,SO,2,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,4.00,3.00,0.0,0.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,Wellcome,Wellcome,No Finishing,"",0,"0801500002",,,,,,,,,,
TJ1905-00001,TJ,2,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,4.00,3.00,0.0,0.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,Wellcome,,,,0,"0801500002",,,,,,,,,,
SO1905-00001,SO,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,4.00,1.00,10000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Ucapan Selamat Datang,Finishing Mata Ayam,Diambil sore,"",0,"0801500002",,,,,,,,,,
SO1905-00002,SO,1,"0100100002",Cetak Banner Kilat,UNIT,5.00,0.0,0.60,1.60,10000.0,0.0,25000.0,UNIT,5.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,xBanner Acara,X-Standing,Segera dicetak,"",0,"0801500003",,,,,,,,,,
TJ1905-00002,TJ,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,4.00,1.00,10000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Ucapan Selamat Datang,,,,0,"0801500002",,,,,,,,,,
TJ1905-00003,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,5.00,0.0,0.60,1.60,10000.0,0.0,25000.0,UNIT,5.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,xBanner Acara,X-Standing,Segera dicetak,,0,"0801500003",,,,,,,,,,
TJ1905-00004,TJ,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,1.00,2.00,10000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Menu Makanan,Finishing Mata Ayam,Di ambil pagi,,0,"0801500002",,,,,,,,,,
SO1905-00004,SO,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,1.00,10000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Studi Tour,Non Finishing,"","",0,"0801500002",,,,,,,,,,
SO1905-00005,SO,1,"0100100001",Cetak Banner Reg,UNIT,2.00,0.0,3.00,1.00,5000.0,0.0,17000.0,UNIT,2.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Seminar,Finishing Mata Ayam,diambil pagi,"",0,"0801500003",,,,,,,,,,
SO1905-00005,SO,2,"0100100001",Cetak Banner Reg,UNIT,4.00,0.0,1.00,2.00,10000.0,0.0,17000.0,UNIT,4.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,xBanner Seminar,x-Standing,diambil pagi,"",0,"0801500001",,,,,,,,,,
SO1905-00006,SO,1,"0100100002",Cetak Banner Kilat,UNIT,3.00,0.0,1.00,2.00,0.0,0.0,25000.0,UNIT,3.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,Menu Makanan,Non Finishing,Segera Cetak,"",0,"0801500002",,,,,,,,,,
TJ1905-00005,TJ,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,1.00,10000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Studi Tour,Non Finishing,"",,0,"0801500002",,,,,,,,,,
TJ1905-00006,TJ,1,"0100100001",Cetak Banner Reg,UNIT,2.00,0.0,3.00,1.00,5000.0,0.0,17000.0,UNIT,2.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Seminar,Finishing Mata Ayam,diambil pagi,,0,"0801500003",,,,,,,,,,
TJ1905-00006,TJ,2,"0100100001",Cetak Banner Reg,UNIT,4.00,0.0,1.00,2.00,10000.0,0.0,17000.0,UNIT,4.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,xBanner Seminar,x-Standing,diambil pagi,,0,"0801500001",,,,,,,,,,
TJ1905-00007,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,3.00,0.0,1.00,2.00,0.0,0.0,25000.0,UNIT,3.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,Menu Makanan,Non Finishing,Segera Cetak,,0,"0801500002",,,,,,,,,,
SO1905-00007,SO,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,5.00,1.00,10000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,XXX,Siap,Cetak,"",0,"0801500002",,,,,,,,,,
TJ1905-00008,TJ,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,5.00,1.00,10000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,XXX,Siap,Cetak,,0,"0801500002",,,,,,,,,,
SO1905-00008,SO,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,1.00,5000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Selamat Datang,Finishing Mata Ayam,Diambil besok sore,"",0,"0801500002",,,,,,,,,,
SO1905-00008,SO,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,1.00,2.00,5000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Menu Makanan,Non Finishing,Diambil Sore,"",0,"0801500001",,,,,,,,,,
TJ1905-00009,TJ,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,3.00,1.00,5000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Selamat Datang,Finishing Mata Ayam,Diambil besok sore,,0,"0801500002",,,,,,,,,,
TJ1905-00009,TJ,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,1.00,2.00,5000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Menu Makanan,Non Finishing,Diambil Sore,,0,"0801500001",,,,,,,,,,
SO1905-00003,SO,1,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,1.00,2.00,10000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Menu Makanan,Finishing Mata Ayam,Di ambil pagi,"",0,"0801500002",,,,,,,,,,
TJ2012-00005,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,3.00,1.00,5000.0,1000.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,Spanduk,Finishing Mata Ayam,Diambil Sore,,0,"0801500003",,,,,,0.00,0.00,0.00,0.00,0.00
TJ2012-00005,TJ,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,4.00,1.50,5000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Backdrop,Non Finishing,Diambil Sore,,0,"0801500003",,,,,,0.00,0.00,0.00,0.00,0.00
SO1912-00001,SO,1,"0100100001",Cetak Banner Reg,UNIT,2.00,0.0,1.00,2.00,5000.0,1000.0,17000.0,UNIT,2.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Cetak Banner,-Finishing Mata Ayam,Cetak Secepatnya,E:\Project\003 POS Serial\_3. Unlimited\03. Pro\_image\logo.png,0,"0801500002",,,,,,,,,,
SO1912-00001,SO,2,"0100100001",Cetak Banner Reg,UNIT,2.00,0.0,2.10,3.00,3000.0,1000.0,17000.0,UNIT,2.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Cetak Banner,Polosan,Secepatnya,"",0,"0801500002",,,,,,,,,,
TJ1912-00001,TJ,1,"0100100001",Cetak Banner Reg,UNIT,2.00,0.0,1.00,2.00,5000.0,1000.0,17000.0,UNIT,2.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Cetak Banner,-Finishing Mata Ayam,Cetak Secepatnya,,0,"0801500002",,,,,,,,,,
TJ1912-00001,TJ,2,"0100100001",Cetak Banner Reg,UNIT,2.00,0.0,2.10,3.00,3000.0,1000.0,17000.0,UNIT,2.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Cetak Banner,Polosan,Secepatnya,,0,"0801500002",,,,,,,,,,
SO1912-00002,SO,1,"0100100002",Cetak Banner Kilat,UNIT,2.00,0.0,2.00,2.50,5000.0,1000.0,25000.0,UNIT,2.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,Cetak Banner,Polosan,Cetak cepat,"",0,"0801500001",,,,,,,,,,
TJ1912-00002,TJ,1,"0100100002",Cetak Banner Kilat,UNIT,2.00,0.0,2.00,2.50,5000.0,1000.0,25000.0,UNIT,2.00,25000.0,0.00,0.0,0.0,0.00,0.00,0.00,Cetak Banner,Polosan,Cetak cepat,,0,"0801500001",,,,,,,,,,
SO1912-00003,SO,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,1.00,3.00,5000.0,1000.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Banner Selamat Datang,Finishing mata ayam,cetak segera,"",0,"0801500002",,,,,,,,,,
TJ2012-00005,TJ,3,"0200200006",MINI X-BANNER,PCS,1.00,0.0,3.00,1.00,0.0,0.0,45000.0,PCS,1.00,45000.0,0.00,0.0,0.0,0.00,0.00,0.00,Mini Banner,Cetak Mini Banner + Standing,"",,0,"0100100003",,,,,,0.00,0.00,0.00,0.00,0.00
SO1912-00003,SO,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,4.00,2.00,10000.0,1000.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Backdrop Besar,Polosan,Cetak segera,"",0,"0801500002",,,,,,,,,,
TJ1912-00003,TJ,1,"0100100001",Cetak Banner Reg,UNIT,3.00,0.0,1.00,3.00,5000.0,1000.0,17000.0,UNIT,3.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Banner Selamat Datang,Finishing mata ayam,cetak segera,,0,"0801500002",,,,,,,,,,
TJ1912-00003,TJ,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,4.00,2.00,10000.0,1000.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,0.00,0.00,Backdrop Besar,Polosan,Cetak segera,,0,"0801500002",,,,,,,,,,
TJ2012-00006,TJ,1,"0200200005",X-BANNER NON STANDING,PCS,2.00,11250.0,3.00,1.00,0.0,0.0,20000.0,PCS,2.00,20000.0,0.00,0.0,0.0,0.00,0.00,0.00,Banner non standing,Cepat cetak,"",,0,"0100100004",,,,,,0.00,0.00,0.00,0.00,0.00
TJ2012-00006,TJ,2,"0200300005",BROSUR A4 1 SISI,RIM,3.00,4130.0,2.00,1.00,0.0,0.0,10000.0,RIM,3.00,10000.0,0.00,0.0,0.0,0.00,0.00,0.00,brosur,Cetak Lagi,"",,0,"0100100003",,,,,,0.00,0.00,0.00,0.00,0.00
SO2012-00001,SO,1,"0200200006",MINI X-BANNER,PCS,1.00,0.0,20.00,5.00,0.0,0.0,45000.0,PCS,1.00,45000.0,0.00,0.0,0.0,0.00,1.00,0.00,XBANNER MINI,Mini XBanner,"","",0,"0100100007",,,,,,0.00,0.00,0.00,0.00,0.00
SO2006-00001,SO,1,"0200500001",CETAK STICKER A3,PCS,1.00,0.0,1.00,2.00,0.0,0.0,15000.0,PCS,1.00,15000.0,0.00,0.0,0.0,0.00,1.00,0.00,Stiker OK,"","","",0,"0100100001",,,,,,,,,,
TJ2006-00001,TJ,1,"0200500001",CETAK STICKER A3,PCS,1.00,0.0,1.00,2.00,0.0,0.0,15000.0,PCS,1.00,15000.0,0.00,0.0,0.0,0.00,0.00,0.00,Stiker OK,"","",,0,"0100100001",,,,,,,,,,
TJ2012-00001,TJ,1,"0200200006",MINI X-BANNER,PCS,1.00,0.0,20.00,5.00,0.0,0.0,45000.0,PCS,1.00,45000.0,0.00,0.0,0.0,0.00,0.00,0.00,XBANNER MINI,Mini XBanner,"",,0,"0100100007",,,,,,0.00,0.00,0.00,0.00,0.00
SO2101-00002,SO,1,"0200200006",MINI X-BANNER,PCS,1.00,0.0,2.00,1.00,0.0,0.0,45000.0,PCS,1.00,45000.0,0.00,0.0,0.0,0.00,1.00,0.00,Mini XBanner,Cepat,"","",0,"",,,,,,0.00,0.00,0.00,0.00,0.00
TJ2012-00002,TJ,1,"0200200006",MINI X-BANNER,PCS,1.00,0.0,1.00,1.00,0.0,0.0,45000.0,PCS,1.00,45000.0,0.00,0.0,0.0,0.00,0.00,0.00,"","","",,0,"",,,,,,0.00,0.00,0.00,0.00,0.00
TJ2012-00003,TJ,1,"0200200006",MINI X-BANNER,PCS,1.00,0.0,1.00,1.00,0.0,0.0,45000.0,PCS,1.00,45000.0,0.00,0.0,0.0,0.00,0.00,0.00,"","","",,0,"",,,,,,0.00,0.00,0.00,0.00,0.00
TJ2012-00004,TJ,1,"0200200006",MINI X-BANNER,PCS,1.00,0.0,1.00,1.00,0.0,0.0,45000.0,PCS,1.00,45000.0,0.00,0.0,0.0,0.00,0.00,0.00,"","","",,0,"",,,,,,0.00,0.00,0.00,0.00,0.00
SO1905-00009,SO,1,"0100100002",Cetak Banner Kilat,UNIT,1.00,0.0,3.00,1.00,5000.0,1000.0,25000.0,UNIT,1.00,25000.0,0.00,0.0,0.0,0.00,1.00,0.00,Spanduk,Finishing Mata Ayam,Diambil Sore,"",0,"0801500003",,,,,,0.00,0.00,0.00,0.00,0.00
SO1905-00009,SO,2,"0100100001",Cetak Banner Reg,UNIT,1.00,0.0,4.00,1.50,5000.0,0.0,17000.0,UNIT,1.00,17000.0,0.00,0.0,0.0,0.00,1.00,0.00,Backdrop,Non Finishing,Diambil Sore,"",0,"0801500003",,,,,,0.00,0.00,0.00,0.00,0.00
SO1905-00009,SO,3,"0200200006",MINI X-BANNER,PCS,1.00,0.0,3.00,1.00,0.0,0.0,45000.0,PCS,1.00,45000.0,0.00,0.0,0.0,0.00,1.00,0.00,Mini Banner,Cetak Mini Banner + Standing,"","",0,"0100100003",,,,,,0.00,0.00,0.00,0.00,0.00
SO2012-00002,SO,1,"0200200007",BANNER SPESIAL,PCS,1.00,0.0,3.00,1.00,0.0,0.0,22750.0,PCS,1.00,22750.0,0.00,0.0,0.0,0.00,1.00,0.00,CETAK BANNER JOS,Cepat kirim,"","",0,"0100100008",,,,,,0.00,0.00,0.00,0.00,0.00
SO2001-00001,SO,1,"0200200005",X-BANNER NON STANDING,PCS,2.00,11250.0,3.00,1.00,0.0,0.0,20000.0,PCS,2.00,20000.0,0.00,0.0,0.0,0.00,1.00,0.00,Banner non standing,Cepat cetak,"","",0,"0100100004",,,,,,0.00,0.00,0.00,0.00,0.00
SO2001-00001,SO,2,"0200300005",BROSUR A4 1 SISI,RIM,3.00,4130.0,2.00,1.00,0.0,0.0,10000.0,RIM,3.00,10000.0,0.00,0.0,0.0,0.00,1.00,0.00,brosur,Cetak Lagi,"","",0,"0100100003",,,,,,0.00,0.00,0.00,0.00,0.00
SO2101-00002,SO,2,"0200200001",CETAK BANNER REGULER,PCS,1.00,9210.0,3.00,1.00,0.0,0.0,16000.0,PCS,1.00,16000.0,0.00,0.0,0.0,0.00,1.00,0.00,Banner,"","","",0,"0100100008",,,,,,0.00,0.00,0.00,0.00,0.00
